seed,variant,precision,recall,f1,fpr
42,baseline,0.8571,0.2857,0.4285,0.0169
42,tol0.005,0.875,0.3333,0.4827,0.0169
42,tol0.005_low_bonus,0.8571,0.2857,0.4285,0.0169
43,baseline,1.0,0.381,0.5518,0.0
43,tol0.005,0.9,0.4286,0.5807,0.0175
43,tol0.005_low_bonus,0.9,0.4286,0.5807,0.0175
44,baseline,0.8462,0.5,0.6286,0.0357
44,tol0.005,0.8667,0.5909,0.7027,0.0357
44,tol0.005_low_bonus,0.8462,0.5,0.6286,0.0357
45,baseline,0.75,0.2857,0.4138,0.0377
45,tol0.005,0.7778,0.3333,0.4666,0.0377
45,tol0.005_low_bonus,0.75,0.2857,0.4138,0.0377
46,baseline,1.0,0.35,0.5185,0.0
46,tol0.005,0.875,0.35,0.5,0.0154
46,tol0.005_low_bonus,1.0,0.35,0.5185,0.0
