seed,variant,candidate_clusters,precision,recall,f1,fpr
42,baseline,80,0.8571,0.2857,0.4285,0.0169
42,velocity_window,80,0.8571,0.2857,0.4285,0.0169
42,amount_tolerance,80,0.875,0.3333,0.4827,0.0169
42,velocity_window+amount_tolerance,80,0.75,0.2857,0.4138,0.0339
43,baseline,78,1.0,0.381,0.5518,0.0
43,velocity_window,78,1.0,0.4286,0.6,0.0
43,amount_tolerance,78,0.9,0.4286,0.5807,0.0175
43,velocity_window+amount_tolerance,78,0.9,0.4286,0.5807,0.0175
44,baseline,78,0.8462,0.5,0.6286,0.0357
44,velocity_window,78,0.9231,0.5455,0.6858,0.0179
44,amount_tolerance,78,0.7647,0.5909,0.6667,0.0714
44,velocity_window+amount_tolerance,78,0.8125,0.5909,0.6842,0.0536
45,baseline,74,0.75,0.2857,0.4138,0.0377
45,velocity_window,74,0.7143,0.2381,0.3572,0.0377
45,amount_tolerance,74,0.7778,0.3333,0.4666,0.0377
45,velocity_window+amount_tolerance,74,0.625,0.2381,0.3448,0.0566
46,baseline,85,1.0,0.35,0.5185,0.0
46,velocity_window,85,0.8571,0.3,0.4444,0.0154
46,amount_tolerance,85,0.7778,0.35,0.4828,0.0308
46,velocity_window+amount_tolerance,85,0.6667,0.3,0.4138,0.0462
