seed,level,threshold,true_positives,false_positives,true_negatives,false_negatives,precision,recall,f1,accuracy,false_positive_rate
42,cluster_level,20,19,37,22,2,0.3393,0.9048,0.4935,0.5125,0.6271
42,cluster_level,30,14,27,32,7,0.3415,0.6667,0.4517,0.575,0.4576
42,cluster_level,40,11,25,34,10,0.3056,0.5238,0.386,0.5625,0.4237
42,cluster_level,50,7,1,58,14,0.875,0.3333,0.4827,0.8125,0.0169
42,cluster_level,60,6,0,59,15,1.0,0.2857,0.4444,0.8125,0.0
42,cluster_level,70,3,0,59,18,1.0,0.1429,0.2501,0.775,0.0
42,cluster_level,80,0,0,59,21,,0.0,,0.7375,0.0
42,cluster_level,90,0,0,59,21,,0.0,,0.7375,0.0
43,cluster_level,20,20,28,29,1,0.4167,0.9524,0.5797,0.6282,0.4912
43,cluster_level,30,19,20,37,2,0.4872,0.9048,0.6334,0.7179,0.3509
43,cluster_level,40,15,19,38,6,0.4412,0.7143,0.5455,0.6795,0.3333
43,cluster_level,50,9,1,56,12,0.9,0.4286,0.5807,0.8333,0.0175
43,cluster_level,60,6,0,57,15,1.0,0.2857,0.4444,0.8077,0.0
43,cluster_level,70,2,0,57,19,1.0,0.0952,0.1738,0.7564,0.0
43,cluster_level,80,0,0,57,21,,0.0,,0.7308,0.0
43,cluster_level,90,0,0,57,21,,0.0,,0.7308,0.0
44,cluster_level,20,22,31,25,0,0.4151,1.0,0.5867,0.6026,0.5536
44,cluster_level,30,21,27,29,1,0.4375,0.9545,0.6,0.641,0.4821
44,cluster_level,40,17,26,30,5,0.3953,0.7727,0.523,0.6026,0.4643
44,cluster_level,50,13,2,54,9,0.8667,0.5909,0.7027,0.859,0.0357
44,cluster_level,60,10,0,56,12,1.0,0.4545,0.625,0.8462,0.0
44,cluster_level,70,4,0,56,18,1.0,0.1818,0.3077,0.7692,0.0
44,cluster_level,80,0,0,56,22,,0.0,,0.7179,0.0
44,cluster_level,90,0,0,56,22,,0.0,,0.7179,0.0
45,cluster_level,20,21,21,32,0,0.5,1.0,0.6667,0.7162,0.3962
45,cluster_level,30,16,13,40,5,0.5517,0.7619,0.64,0.7568,0.2453
45,cluster_level,40,13,12,41,8,0.52,0.619,0.5652,0.7297,0.2264
45,cluster_level,50,7,2,51,14,0.7778,0.3333,0.4666,0.7838,0.0377
45,cluster_level,60,3,0,53,18,1.0,0.1429,0.2501,0.7568,0.0
45,cluster_level,70,1,0,53,20,1.0,0.0476,0.0909,0.7297,0.0
45,cluster_level,80,0,0,53,21,,0.0,,0.7162,0.0
45,cluster_level,90,0,0,53,21,,0.0,,0.7162,0.0
46,cluster_level,20,20,39,26,0,0.339,1.0,0.5063,0.5412,0.6
46,cluster_level,30,12,26,39,8,0.3158,0.6,0.4138,0.6,0.4
46,cluster_level,40,11,26,39,9,0.2973,0.55,0.386,0.5882,0.4
46,cluster_level,50,7,0,65,13,1.0,0.35,0.5185,0.8471,0.0
46,cluster_level,60,4,0,65,16,1.0,0.2,0.3333,0.8118,0.0
46,cluster_level,70,3,0,65,17,1.0,0.15,0.2609,0.8,0.0
46,cluster_level,80,1,0,65,19,1.0,0.05,0.0952,0.7765,0.0
46,cluster_level,90,0,0,65,20,,0.0,,0.7647,0.0
9001,cluster_level,20,22,32,23,2,0.4074,0.9167,0.5641,0.5696,0.5818
9001,cluster_level,30,21,25,30,3,0.4565,0.875,0.6,0.6456,0.4545
9001,cluster_level,40,18,23,32,6,0.439,0.75,0.5538,0.6329,0.4182
9001,cluster_level,50,10,3,52,14,0.7692,0.4167,0.5406,0.7848,0.0545
9001,cluster_level,60,3,0,55,21,1.0,0.125,0.2222,0.7342,0.0
9001,cluster_level,70,2,0,55,22,1.0,0.0833,0.1538,0.7215,0.0
9001,cluster_level,80,1,0,55,23,1.0,0.0417,0.0801,0.7089,0.0
9001,cluster_level,90,0,0,55,24,,0.0,,0.6962,0.0
9002,cluster_level,20,20,38,30,1,0.3448,0.9524,0.5063,0.5618,0.5588
9002,cluster_level,30,20,30,38,1,0.4,0.9524,0.5634,0.6517,0.4412
9002,cluster_level,40,13,28,40,8,0.3171,0.619,0.4194,0.5955,0.4118
9002,cluster_level,50,9,3,65,12,0.75,0.4286,0.5455,0.8315,0.0441
9002,cluster_level,60,6,0,68,15,1.0,0.2857,0.4444,0.8315,0.0
9002,cluster_level,70,3,0,68,18,1.0,0.1429,0.2501,0.7978,0.0
9002,cluster_level,80,1,0,68,20,1.0,0.0476,0.0909,0.7753,0.0
9002,cluster_level,90,0,0,68,21,,0.0,,0.764,0.0
9003,cluster_level,20,24,47,23,0,0.338,1.0,0.5052,0.5,0.6714
9003,cluster_level,30,21,35,35,3,0.375,0.875,0.525,0.5957,0.5
9003,cluster_level,40,18,35,35,6,0.3396,0.75,0.4675,0.5638,0.5
9003,cluster_level,50,12,3,67,12,0.8,0.5,0.6154,0.8404,0.0429
9003,cluster_level,60,7,0,70,17,1.0,0.2917,0.4517,0.8191,0.0
9003,cluster_level,70,1,0,70,23,1.0,0.0417,0.0801,0.7553,0.0
9003,cluster_level,80,1,0,70,23,1.0,0.0417,0.0801,0.7553,0.0
9003,cluster_level,90,0,0,70,24,,0.0,,0.7447,0.0
9004,cluster_level,20,15,35,27,0,0.3,1.0,0.4615,0.5455,0.5645
9004,cluster_level,30,13,28,34,2,0.3171,0.8667,0.4643,0.6104,0.4516
9004,cluster_level,40,11,27,35,4,0.2895,0.7333,0.4151,0.5974,0.4355
9004,cluster_level,50,7,4,58,8,0.6364,0.4667,0.5385,0.8442,0.0645
9004,cluster_level,60,4,0,62,11,1.0,0.2667,0.4211,0.8571,0.0
9004,cluster_level,70,2,0,62,13,1.0,0.1333,0.2352,0.8312,0.0
9004,cluster_level,80,1,0,62,14,1.0,0.0667,0.1251,0.8182,0.0
9004,cluster_level,90,0,0,62,15,,0.0,,0.8052,0.0
9005,cluster_level,20,22,33,29,0,0.4,1.0,0.5714,0.6071,0.5323
9005,cluster_level,30,18,23,39,4,0.439,0.8182,0.5714,0.6786,0.371
9005,cluster_level,40,13,23,39,9,0.3611,0.5909,0.4483,0.619,0.371
9005,cluster_level,50,10,3,59,12,0.7692,0.4545,0.5714,0.8214,0.0484
9005,cluster_level,60,6,0,62,16,1.0,0.2727,0.4285,0.8095,0.0
9005,cluster_level,70,3,0,62,19,1.0,0.1364,0.2401,0.7738,0.0
9005,cluster_level,80,0,0,62,22,,0.0,,0.7381,0.0
9005,cluster_level,90,0,0,62,22,,0.0,,0.7381,0.0
