seed,threshold,precision,recall,f1,fpr
42,50,0.875,0.3333,0.4827,0.0169
42,52,1.0,0.2857,0.4444,0.0
42,55,1.0,0.2857,0.4444,0.0
42,58,1.0,0.2857,0.4444,0.0
42,60,1.0,0.2857,0.4444,0.0
43,50,0.9,0.4286,0.5807,0.0175
43,52,1.0,0.4286,0.6,0.0
43,55,1.0,0.381,0.5518,0.0
43,58,1.0,0.3333,0.5,0.0
43,60,1.0,0.2857,0.4444,0.0
44,50,0.8667,0.5909,0.7027,0.0357
44,52,0.8462,0.5,0.6286,0.0357
44,55,1.0,0.5,0.6667,0.0
44,58,1.0,0.4545,0.625,0.0
44,60,1.0,0.4545,0.625,0.0
45,50,0.7778,0.3333,0.4666,0.0377
45,52,0.75,0.2857,0.4138,0.0377
45,55,0.8,0.1905,0.3077,0.0189
45,58,0.8,0.1905,0.3077,0.0189
45,60,1.0,0.1429,0.2501,0.0
46,50,0.875,0.35,0.5,0.0154
46,52,1.0,0.35,0.5185,0.0
46,55,1.0,0.3,0.4615,0.0
46,58,1.0,0.25,0.4,0.0
46,60,1.0,0.2,0.3333,0.0
9001,50,0.7692,0.4167,0.5406,0.0545
9001,52,0.9,0.375,0.5294,0.0182
9001,55,1.0,0.25,0.4,0.0
9001,58,1.0,0.1667,0.2858,0.0
9001,60,1.0,0.125,0.2222,0.0
9002,50,0.6923,0.4286,0.5294,0.0588
9002,52,0.8,0.381,0.5162,0.0294
9002,55,1.0,0.381,0.5518,0.0
9002,58,1.0,0.2857,0.4444,0.0
9002,60,1.0,0.2857,0.4444,0.0
9003,50,0.8,0.5,0.6154,0.0429
9003,52,0.7857,0.4583,0.5789,0.0429
9003,55,0.8333,0.4167,0.5556,0.0286
9003,58,0.9,0.375,0.5294,0.0143
9003,60,1.0,0.2917,0.4517,0.0
9004,50,0.6364,0.4667,0.5385,0.0645
9004,52,1.0,0.4667,0.6364,0.0
9004,55,1.0,0.3333,0.5,0.0
9004,58,1.0,0.3333,0.5,0.0
9004,60,1.0,0.3333,0.5,0.0
9005,50,0.7143,0.4545,0.5555,0.0645
9005,52,0.9,0.4091,0.5625,0.0161
9005,55,0.8889,0.3636,0.5161,0.0161
9005,58,1.0,0.3636,0.5333,0.0
9005,60,1.0,0.2727,0.4285,0.0
