seed,split,attack,candidate_clusters,precision,recall,f1,fpr,customer_precision,customer_recall,customer_f1,customer_fpr,abuse_customer_coverage,flagged_transaction_value
42,development,baseline,80,1.0,0.2857,0.4444,0.0,1.0,0.1933,0.324,0.0,0.1933,332561.55
42,development,amount_randomization,80,1.0,0.2857,0.4444,0.0,1.0,0.1933,0.324,0.0,0.1933,332667.06
42,development,infrastructure_rotation,59,,,,0.0,,0.0,,0.0,0.0,0.0
42,development,high_fanout_camouflage,80,1.0,0.2857,0.4444,0.0,1.0,0.1933,0.324,0.0,0.1933,332561.55
42,development,temporal_spreading,80,1.0,0.2857,0.4444,0.0,1.0,0.1933,0.324,0.0,0.1933,332561.55
42,development,low_and_slow,80,1.0,0.2857,0.4444,0.0,1.0,0.1933,0.324,0.0,0.1933,332561.55
43,development,baseline,78,1.0,0.4286,0.6,0.0,1.0,0.32,0.4848,0.0,0.32,514384.47
43,development,amount_randomization,78,1.0,0.4286,0.6,0.0,1.0,0.32,0.4848,0.0,0.32,514807.3
43,development,infrastructure_rotation,57,,,,0.0,,0.0,,0.0,0.0,0.0
43,development,high_fanout_camouflage,76,1.0,0.4,0.5714,0.0,1.0,0.2867,0.4456,0.0,0.2867,505299.69
43,development,temporal_spreading,78,1.0,0.4286,0.6,0.0,1.0,0.32,0.4848,0.0,0.32,514384.47
43,development,low_and_slow,78,1.0,0.4286,0.6,0.0,1.0,0.32,0.4848,0.0,0.32,514384.47
44,development,baseline,78,0.9167,0.5,0.6471,0.0179,0.963,0.3467,0.5098,0.0024,0.3467,657876.92
44,development,amount_randomization,78,0.9167,0.5,0.6471,0.0179,0.963,0.3467,0.5098,0.0024,0.3467,656860.85
44,development,infrastructure_rotation,56,0.0,,,0.0179,0.0,0.0,,0.0024,0.0,10965.73
44,development,high_fanout_camouflage,77,0.9167,0.5,0.6471,0.0182,0.963,0.3467,0.5098,0.0024,0.3467,657876.92
44,development,temporal_spreading,78,0.9231,0.5455,0.6858,0.0179,0.9649,0.3667,0.5314,0.0024,0.3667,678169.78
44,development,low_and_slow,78,0.9286,0.5909,0.7222,0.0179,0.9677,0.4,0.566,0.0024,0.4,874433.22
45,development,baseline,74,0.75,0.2857,0.4138,0.0377,0.8611,0.2067,0.3334,0.0059,0.2067,364172.77
45,development,amount_randomization,74,0.7143,0.2381,0.3572,0.0377,0.8333,0.1667,0.2778,0.0059,0.1667,332475.92
45,development,infrastructure_rotation,53,0.0,,,0.0377,0.0,0.0,,0.0059,0.0,25766.95
45,development,high_fanout_camouflage,72,0.7143,0.25,0.3704,0.0385,0.8485,0.1867,0.3061,0.0059,0.1867,358171.31
45,development,temporal_spreading,74,0.75,0.2857,0.4138,0.0377,0.8611,0.2067,0.3334,0.0059,0.2067,364172.77
45,development,low_and_slow,74,0.75,0.2857,0.4138,0.0377,0.8529,0.1933,0.3152,0.0059,0.1933,190936.47
46,development,baseline,85,1.0,0.35,0.5185,0.0,1.0,0.22,0.3607,0.0,0.22,416596.95
46,development,amount_randomization,85,1.0,0.35,0.5185,0.0,1.0,0.22,0.3607,0.0,0.22,416721.82
46,development,infrastructure_rotation,65,,,,0.0,,0.0,,0.0,0.0,0.0
46,development,high_fanout_camouflage,82,1.0,0.3684,0.5384,0.0,1.0,0.22,0.3607,0.0,0.22,416596.95
46,development,temporal_spreading,85,1.0,0.35,0.5185,0.0,1.0,0.22,0.3607,0.0,0.22,416596.95
46,development,low_and_slow,85,1.0,0.35,0.5185,0.0,1.0,0.22,0.3607,0.0,0.22,416596.95
9001,held_out,baseline,79,0.9,0.375,0.5294,0.0182,0.9643,0.36,0.5243,0.0024,0.36,598354.05
9001,held_out,amount_randomization,79,0.9,0.375,0.5294,0.0182,0.9643,0.36,0.5243,0.0024,0.36,598589.77
9001,held_out,infrastructure_rotation,55,0.0,,,0.0182,0.0,0.0,,0.0024,0.0,44590.87
9001,held_out,high_fanout_camouflage,76,0.9,0.3913,0.5455,0.0189,0.9643,0.36,0.5243,0.0024,0.36,598354.05
9001,held_out,temporal_spreading,79,0.9,0.375,0.5294,0.0182,0.9643,0.36,0.5243,0.0024,0.36,598354.05
9001,held_out,low_and_slow,79,0.9091,0.4167,0.5715,0.0182,0.9672,0.3933,0.5592,0.0024,0.3933,650302.14
9002,held_out,baseline,89,0.8,0.381,0.5162,0.0294,0.8409,0.2467,0.3815,0.0082,0.2467,450743.77
9002,held_out,amount_randomization,89,0.8,0.381,0.5162,0.0294,0.8409,0.2467,0.3815,0.0082,0.2467,450756.84
9002,held_out,infrastructure_rotation,68,0.0,,,0.0294,0.0,0.0,,0.0082,0.0,90961.56
9002,held_out,high_fanout_camouflage,85,0.7778,0.35,0.4828,0.0308,0.825,0.22,0.3474,0.0082,0.22,426424.23
