cluster_id,risk_score,risk_level,exposure_inr,baseline_policy_decision,baseline_reason_codes,gemini_status,gemini_classification,gemini_severity,gemini_confidence,gemini_recommendation,gemini_policy_decision,ai_recommendation_followed,decision_changed,gemini_latency_ms,gemini_error
cc-0002,69.37,CRITICAL,2204.37,ESCALATE,CRITICAL_RISK|AI_UNAVAILABLE,COMPLETED,POTENTIAL_COORDINATED_ABUSE,HIGH,0.85,HOLD_FOR_REVIEW,ESCALATE,False,False,26353.59,
cc-0004,18.67,LOW,842.09,NO_ACTION,LOW_RISK|AI_UNAVAILABLE,COMPLETED,LEGITIMATE_SHARED_INFRASTRUCTURE,LOW,0.9,MONITOR,NO_ACTION,False,False,22209.66,
cc-0005,51.04,HIGH,0.0,HOLD_FOR_REVIEW,HIGH_RISK|AI_UNAVAILABLE,COMPLETED,POTENTIAL_COORDINATED_ABUSE,MEDIUM,0.75,REVIEW,HOLD_FOR_REVIEW,False,False,26107.36,
cc-0008,12.5,LOW,0.0,NO_ACTION,LOW_RISK|AI_UNAVAILABLE,COMPLETED,LEGITIMATE_SHARED_INFRASTRUCTURE,LOW,0.95,NO_ACTION,NO_ACTION,True,False,85691.83,
cc-0011,15.11,LOW,2064.85,NO_ACTION,LOW_RISK|AI_UNAVAILABLE,COMPLETED,LEGITIMATE_SHARED_INFRASTRUCTURE,LOW,0.95,MONITOR,NO_ACTION,False,False,43889.62,
cc-0012,45.75,MEDIUM,1907.13,MONITOR,MEDIUM_RISK|AI_UNAVAILABLE,COMPLETED,POTENTIAL_COORDINATED_ABUSE,MEDIUM,0.8,REVIEW,REVIEW,True,True,17557.65,
cc-0013,71.2,CRITICAL,19748.22,ESCALATE,CRITICAL_RISK|SIGNIFICANT_FINANCIAL_EXPOSURE|AI_UNAVAILABLE,COMPLETED,POTENTIAL_COORDINATED_ABUSE,HIGH,0.9,HOLD_FOR_REVIEW,ESCALATE,False,False,21705.13,
cc-0017,46.53,MEDIUM,219.8,MONITOR,MEDIUM_RISK|AI_UNAVAILABLE,COMPLETED,LEGITIMATE_SHARED_INFRASTRUCTURE,LOW,0.9,MONITOR,MONITOR,True,False,14829.85,
cc-0018,49.97,MEDIUM,63773.91,REVIEW,MEDIUM_RISK|SIGNIFICANT_FINANCIAL_EXPOSURE|AI_UNAVAILABLE,COMPLETED,POTENTIAL_COORDINATED_ABUSE,HIGH,0.85,REVIEW,REVIEW,True,False,18707.6,
cc-0020,17.09,LOW,735.13,NO_ACTION,LOW_RISK|AI_UNAVAILABLE,COMPLETED,LEGITIMATE_SHARED_INFRASTRUCTURE,LOW,0.85,NO_ACTION,NO_ACTION,True,False,21712.34,
cc-0025,73.81,CRITICAL,25112.57,ESCALATE,CRITICAL_RISK|SIGNIFICANT_FINANCIAL_EXPOSURE|AI_UNAVAILABLE,COMPLETED,POTENTIAL_COORDINATED_ABUSE,HIGH,0.92,HOLD_FOR_REVIEW,ESCALATE,False,False,21101.21,
cc-0030,20.46,LOW,935.23,NO_ACTION,LOW_RISK|AI_UNAVAILABLE,COMPLETED,LEGITIMATE_SHARED_INFRASTRUCTURE,LOW,0.95,NO_ACTION,NO_ACTION,True,False,20686.05,
cc-0034,20.16,LOW,3537.5,NO_ACTION,LOW_RISK|AI_UNAVAILABLE,COMPLETED,LEGITIMATE_SHARED_INFRASTRUCTURE,LOW,0.9,MONITOR,NO_ACTION,False,False,28172.18,
cc-0035,45.38,MEDIUM,2554.51,MONITOR,MEDIUM_RISK|AI_UNAVAILABLE,AI_UNAVAILABLE,,,,,,False,False,6297.65,Gemini rate limit exceeded.
cc-0037,36.52,MEDIUM,28764.66,REVIEW,MEDIUM_RISK|SIGNIFICANT_FINANCIAL_EXPOSURE|AI_UNAVAILABLE,AI_UNAVAILABLE,,,,,,False,False,6603.7,Gemini rate limit exceeded.
cc-0038,39.36,MEDIUM,0.0,MONITOR,MEDIUM_RISK|AI_UNAVAILABLE,AI_UNAVAILABLE,,,,,,False,False,6454.34,Gemini rate limit exceeded.
cc-0043,67.55,CRITICAL,4412.44,ESCALATE,CRITICAL_RISK|AI_UNAVAILABLE,AI_UNAVAILABLE,,,,,,False,False,6481.85,Gemini rate limit exceeded.
cc-0045,27.5,MEDIUM,0.0,MONITOR,MEDIUM_RISK|AI_UNAVAILABLE,AI_UNAVAILABLE,,,,,,False,False,6370.46,Gemini rate limit exceeded.
cc-0046,76.06,CRITICAL,22690.1,ESCALATE,CRITICAL_RISK|SIGNIFICANT_FINANCIAL_EXPOSURE|AI_UNAVAILABLE,AI_UNAVAILABLE,,,,,,False,False,6044.99,Gemini rate limit exceeded.
cc-0050,16.69,LOW,0.0,NO_ACTION,LOW_RISK|AI_UNAVAILABLE,AI_UNAVAILABLE,,,,,,False,False,7155.84,Gemini rate limit exceeded.
cc-0055,40.81,MEDIUM,7525.78,MONITOR,MEDIUM_RISK|AI_UNAVAILABLE,AI_UNAVAILABLE,,,,,,False,False,6349.99,Gemini rate limit exceeded.
cc-0056,39.06,MEDIUM,2023.67,MONITOR,MEDIUM_RISK|AI_UNAVAILABLE,AI_UNAVAILABLE,,,,,,False,False,5641.42,Gemini rate limit exceeded.
cc-0057,61.89,HIGH,4891.1,HOLD_FOR_REVIEW,HIGH_RISK|AI_UNAVAILABLE,AI_UNAVAILABLE,,,,,,False,False,7728.12,Gemini rate limit exceeded.
cc-0060,50.22,HIGH,536.61,HOLD_FOR_REVIEW,HIGH_RISK|AI_UNAVAILABLE,AI_UNAVAILABLE,,,,,,False,False,5577.96,Gemini rate limit exceeded.
cc-0062,18.09,LOW,0.0,NO_ACTION,LOW_RISK|AI_UNAVAILABLE,AI_UNAVAILABLE,,,,,,False,False,5721.82,Gemini rate limit exceeded.
cc-0066,12.5,LOW,2164.97,NO_ACTION,LOW_RISK|AI_UNAVAILABLE,AI_UNAVAILABLE,,,,,,False,False,6462.78,Gemini rate limit exceeded.
cc-0069,21.78,LOW,8282.25,NO_ACTION,LOW_RISK|AI_UNAVAILABLE,AI_UNAVAILABLE,,,,,,False,False,5277.49,Gemini rate limit exceeded.
cc-0073,15.92,LOW,2842.09,NO_ACTION,LOW_RISK|AI_UNAVAILABLE,AI_UNAVAILABLE,,,,,,False,False,5321.83,Gemini rate limit exceeded.
cc-0076,46.7,MEDIUM,768.34,MONITOR,MEDIUM_RISK|AI_UNAVAILABLE,AI_UNAVAILABLE,,,,,,False,False,5729.16,Gemini rate limit exceeded.
cc-0077,12.5,LOW,0.0,NO_ACTION,LOW_RISK|AI_UNAVAILABLE,AI_UNAVAILABLE,,,,,,False,False,5397.45,Gemini rate limit exceeded.
