cluster_id,truth,deterministic_score,ml_probability,ml_prediction,augmentation_score,augmentation_prediction,detector_prediction,detector_ml_agreement
cc-0042,1,33.01,0.999091,1,42.9918,0,0,False
cc-0002,1,69.37,0.998868,1,79.3474,1,1,True
cc-0025,1,73.81,0.996914,1,83.7483,1,1,True
cc-0015,1,27.5,0.992912,1,37.3582,0,0,False
cc-0047,0,46.17,0.029474,0,36.7595,0,0,True
cc-0004,0,18.67,0.001252,0,8.695,0,0,True
cc-0075,0,47.19,0.001252,0,37.215,0,0,True
cc-0058,0,42.65,0.001252,0,32.675,0,0,True
cc-0070,0,17.23,0.001252,0,7.255,0,0,True
cc-0050,0,16.69,0.001252,0,6.715,0,0,True
cc-0052,0,45.73,0.001252,0,35.755,0,0,True
cc-0076,0,46.7,0.001252,0,36.725,0,0,True
cc-0027,0,17.51,0.001252,0,7.535,0,0,True
cc-0065,0,15.92,0.001252,0,5.945,0,0,True
cc-0064,0,18.15,0.001252,0,8.175,0,0,True
cc-0017,0,46.53,0.001252,0,36.555,0,0,True
cc-0056,0,39.06,0.001252,0,29.085,0,0,True
cc-0031,0,17.68,0.001252,0,7.705,0,0,True
cc-0044,0,15.15,0.001252,0,5.175,0,0,True
cc-0061,0,14.23,0.001252,0,4.255,0,0,True
cc-0029,0,45.43,0.001252,0,35.455,0,0,True
cc-0019,0,12.5,0.001252,0,2.525,0,0,True
cc-0034,0,20.16,0.001252,0,10.185,0,0,True
cc-0059,0,14.86,0.001252,0,4.885,0,0,True
