seed,split,amount_tolerance,amount_tolerance_pct,threshold,candidate_clusters,labelled_clusters,positive_clusters,negative_clusters,precision,recall,f1,fpr,customer_coverage
42,development,0.005,0.5,20.0,80,80,21,59,0.3392857142857143,0.9047619047619048,0.49350649350649356,0.6271186440677966,0.64
42,development,0.005,0.5,30.0,80,80,21,59,0.34146341463414637,0.6666666666666666,0.4516129032258065,0.4576271186440678,0.47333333333333333
42,development,0.005,0.5,40.0,80,80,21,59,0.3055555555555556,0.5238095238095238,0.3859649122807018,0.423728813559322,0.38
42,development,0.005,0.5,50.0,80,80,21,59,0.875,0.3333333333333333,0.48275862068965514,0.01694915254237288,0.23333333333333334
42,development,0.005,0.5,52.0,80,80,21,59,1.0,0.2857142857142857,0.4444444444444445,0.0,0.19333333333333333
42,development,0.005,0.5,55.0,80,80,21,59,1.0,0.2857142857142857,0.4444444444444445,0.0,0.19333333333333333
42,development,0.005,0.5,60.0,80,80,21,59,1.0,0.2857142857142857,0.4444444444444445,0.0,0.19333333333333333
42,development,0.005,0.5,70.0,80,80,21,59,1.0,0.14285714285714285,0.25,0.0,0.08
42,development,0.005,0.5,80.0,80,80,21,59,,0.0,,0.0,0.0
42,development,0.005,0.5,90.0,80,80,21,59,,0.0,,0.0,0.0
42,development,0.001,0.1,52.0,80,80,21,59,1.0,0.2857142857142857,0.4444444444444445,0.0,0.19333333333333333
42,development,0.0025,0.25,52.0,80,80,21,59,1.0,0.2857142857142857,0.4444444444444445,0.0,0.19333333333333333
42,development,0.005,0.5,52.0,80,80,21,59,1.0,0.2857142857142857,0.4444444444444445,0.0,0.19333333333333333
42,development,0.0075,0.75,52.0,80,80,21,59,1.0,0.2857142857142857,0.4444444444444445,0.0,0.19333333333333333
42,development,0.01,1.0,52.0,80,80,21,59,1.0,0.2857142857142857,0.4444444444444445,0.0,0.19333333333333333
43,development,0.005,0.5,20.0,78,78,21,57,0.4166666666666667,0.9523809523809523,0.5797101449275361,0.49122807017543857,0.74
43,development,0.005,0.5,30.0,78,78,21,57,0.48717948717948717,0.9047619047619048,0.6333333333333333,0.3508771929824561,0.7066666666666667
43,development,0.005,0.5,40.0,78,78,21,57,0.4411764705882353,0.7142857142857143,0.5454545454545455,0.3333333333333333,0.56
43,development,0.005,0.5,50.0,78,78,21,57,0.9,0.42857142857142855,0.5806451612903225,0.017543859649122806,0.32
43,development,0.005,0.5,52.0,78,78,21,57,1.0,0.42857142857142855,0.6,0.0,0.32
43,development,0.005,0.5,55.0,78,78,21,57,1.0,0.38095238095238093,0.5517241379310345,0.0,0.28
43,development,0.005,0.5,60.0,78,78,21,57,1.0,0.2857142857142857,0.4444444444444445,0.0,0.21333333333333335
43,development,0.005,0.5,70.0,78,78,21,57,1.0,0.09523809523809523,0.17391304347826084,0.0,0.06
43,development,0.005,0.5,80.0,78,78,21,57,,0.0,,0.0,0.0
43,development,0.005,0.5,90.0,78,78,21,57,,0.0,,0.0,0.0
43,development,0.001,0.1,52.0,78,78,21,57,1.0,0.42857142857142855,0.6,0.0,0.32
43,development,0.0025,0.25,52.0,78,78,21,57,1.0,0.42857142857142855,0.6,0.0,0.32
43,development,0.005,0.5,52.0,78,78,21,57,1.0,0.42857142857142855,0.6,0.0,0.32
43,development,0.0075,0.75,52.0,78,78,21,57,1.0,0.42857142857142855,0.6,0.0,0.32
43,development,0.01,1.0,52.0,78,78,21,57,1.0,0.42857142857142855,0.6,0.0,0.32
44,development,0.005,0.5,20.0,78,78,22,56,0.41509433962264153,1.0,0.5866666666666668,0.5535714285714286,0.6733333333333333
44,development,0.005,0.5,30.0,78,78,22,56,0.4375,0.9545454545454546,0.6,0.48214285714285715,0.62
44,development,0.005,0.5,40.0,78,78,22,56,0.3953488372093023,0.7727272727272727,0.523076923076923,0.4642857142857143,0.49333333333333335
44,development,0.005,0.5,50.0,78,78,22,56,0.8666666666666667,0.5909090909090909,0.7027027027027029,0.03571428571428571,0.4
44,development,0.005,0.5,52.0,78,78,22,56,0.9166666666666666,0.5,0.6470588235294118,0.017857142857142856,0.3466666666666667
44,development,0.005,0.5,55.0,78,78,22,56,1.0,0.5,0.6666666666666666,0.0,0.3466666666666667
44,development,0.005,0.5,60.0,78,78,22,56,1.0,0.45454545454545453,0.625,0.0,0.32666666666666666
44,development,0.005,0.5,70.0,78,78,22,56,1.0,0.18181818181818182,0.3076923076923077,0.0,0.15333333333333332
44,development,0.005,0.5,80.0,78,78,22,56,,0.0,,0.0,0.0
44,development,0.005,0.5,90.0,78,78,22,56,,0.0,,0.0,0.0
44,development,0.001,0.1,52.0,78,78,22,56,0.9166666666666666,0.5,0.6470588235294118,0.017857142857142856,0.3466666666666667
44,development,0.0025,0.25,52.0,78,78,22,56,0.9166666666666666,0.5,0.6470588235294118,0.017857142857142856,0.3466666666666667
44,development,0.005,0.5,52.0,78,78,22,56,0.9166666666666666,0.5,0.6470588235294118,0.017857142857142856,0.3466666666666667
44,development,0.0075,0.75,52.0,78,78,22,56,0.9166666666666666,0.5,0.6470588235294118,0.017857142857142856,0.3466666666666667
44,development,0.01,1.0,52.0,78,78,22,56,0.8461538461538461,0.5,0.6285714285714286,0.03571428571428571,0.3466666666666667
45,development,0.005,0.5,20.0,74,74,21,53,0.5,1.0,0.6666666666666666,0.39622641509433965,0.6733333333333333
45,development,0.005,0.5,30.0,74,74,21,53,0.5517241379310345,0.7619047619047619,0.64,0.24528301886792453,0.52
45,development,0.005,0.5,40.0,74,74,21,53,0.52,0.6190476190476191,0.5652173913043478,0.22641509433962265,0.4533333333333333
45,development,0.005,0.5,50.0,74,74,21,53,0.7777777777777778,0.3333333333333333,0.4666666666666666,0.03773584905660377,0.24
45,development,0.005,0.5,52.0,74,74,21,53,0.75,0.2857142857142857,0.4137931034482759,0.03773584905660377,0.20666666666666667
45,development,0.005,0.5,55.0,74,74,21,53,0.8,0.19047619047619047,0.3076923076923077,0.018867924528301886,0.12
45,development,0.005,0.5,60.0,74,74,21,53,1.0,0.14285714285714285,0.25,0.0,0.1
