seed,split,candidate_clusters,labelled_clusters,positive_clusters,negative_clusters,v1_precision,v1_recall,v1_f1,v1_fpr,raw_two_hop_pairs,degree_filtered_pairs,temporal_filtered_pairs,behavior_filtered_pairs,same_component_pairs,cross_component_pairs,unique_customers,abuse_customers,legitimate_customers,abuse_pairs,legitimate_pairs,mixed_pairs,abuse_customer_coverage
42,development,80,80,21,59,1.0,0.2857142857142857,0.4444444444444445,0.0,506,506,219,182,182,0,179,62,117,101,81,0,0.41333333333333333
43,development,78,78,21,57,1.0,0.42857142857142855,0.6,0.0,591,591,284,249,249,0,193,85,108,158,91,0,0.5666666666666667
44,development,78,78,22,56,0.9166666666666666,0.5,0.6470588235294118,0.017857142857142856,529,529,243,194,194,0,190,64,126,96,98,0,0.4266666666666667
45,development,74,74,21,53,0.75,0.2857142857142857,0.4137931034482759,0.03773584905660377,524,524,231,194,194,0,190,67,123,95,99,0,0.44666666666666666
46,development,85,85,20,65,1.0,0.35,0.5185185185185185,0.0,512,512,184,146,146,0,182,37,145,34,112,0,0.24666666666666667
9001,held_out,79,79,24,55,0.9,0.375,0.5294117647058825,0.01818181818181818,606,606,273,230,230,0,223,84,139,106,124,0,0.56
9002,held_out,89,89,21,68,0.8,0.38095238095238093,0.5161290322580645,0.029411764705882353,496,496,200,156,156,0,183,55,128,67,89,0,0.36666666666666664
9003,held_out,94,94,24,70,0.8461538461538461,0.4583333333333333,0.5945945945945945,0.02857142857142857,510,510,198,171,171,0,186,64,122,73,98,0,0.4266666666666667
9004,held_out,77,77,15,62,1.0,0.4666666666666667,0.6363636363636364,0.0,449,449,182,147,147,0,156,34,122,47,99,1,0.22666666666666666
9005,held_out,84,84,22,62,0.9,0.4090909090909091,0.5625000000000001,0.016129032258064516,560,560,235,189,189,0,187,80,107,109,80,0,0.5333333333333333
